l_ukrainian:
 ROM_SUBJECT_GENERAL_DETAILS:0 "Їх рівень розвитку дорівнює $DЕV$ при числі провінцій рівному $РRОVS$."
 THEY_HAVE_LOANS:0 "Число їх позик дорівнює $NUМ|Y$, через що необхідно виплатити $DUСАТS|Y$¤."
 PARTICIPANT:0 "Учасник"
 ATTACKERS:0 "Атакуючі"
 DEFENDERS:0 "Захисники"
 ATTACKER_CASUALTIES:0 "Втрати атакуючих"
 DEFENDER_CASUALTIES:0 "Втрати захисників"
 COUNTRY_CASUALTIES:0 "$АDJ$і втрати"
 RESULT_EVERLASTING_VICTORY:0 "Легендарна перемога"
 RESULT_COMPLETE_VICTORY:0 "Повна перемога"
 RESULT_GLORIOUS_VICTORY:0 "Велика перемога"
 RESULT_DECISIVE_VICTORY:0 "Рішуча перемога"
 RESULT_MINOR_VICTORY:0 "Порожня перемога"
 RESULT_MAJOR_VICTORY:0 "Упевнена перемога"
 RESULT_NAVAL_VICTORY:0 "Перемога на море"
 RESULT_PYRRHIC_VICTORY:0 "Піррова перемога"
 RESULT_EVERLASTING_DEFEAT:0 "Нищівна поразка"
 RESULT_COMPLETE_DEFEAT:0 "Повна поразка"
 RESULT_GLORIOUS_DEFEAT:0 "Ганебна поразка"
 RESULT_DECISIVE_DEFEAT:0 "Рішуча поразка"
 RESULT_MINOR_DEFEAT:0 "Незначна поразка"
 RESULT_MAJOR_DEFEAT:0 "Приголомшлива поразка"
 RESULT_NAVAL_DEFEAT:0 "Поразка на море"
 RESULT_WHITE_PEACE:0 "Білий мир"
 RESULT_VICTORY:0 "Перемога"
 RESULT_DEFEAT:0 "Поразка"
 RESULT_DRAW:0 "Нічия"
 RESULT_STALEMATE:0 "Глухий кут"
 RESULT_NAVAL_STALEMATE:0 "Безвихідь на море"
 RESULT_INSIGNIFICANT_VICTORY:0 "Незначна перемога"
 RESULT_INSIGNIFICANT_DEFEAT:0 "Незначна поразка"
 AI_RULER_PERSONALITY_REGULAR:0 "Дана риса характеру не впливає на поведінку ІІ-гравця."
 AI_RULER_PERSONALITY_HEADER:1 "ІІ-правитель, який має рису $РЕRSОNАLIТY$:\n"
 AI_RULER_ACTUAL_PERSONALITY_HEADER:0 "ІІ-правитель, який отримав рису $РЕRSОNАLIТY$, буде:\n"
 AI_RULER_PICK_IDEA_GROUPS:0 "Буде схильний вибирати певні групи ідей."
 AI_RULER_SPEND_UNLOCK_INSTIT:0 "Буде схильний поширювати інститутції."
 AI_RULER_MORE_LIKELY_TRADE_LEAGUE:0 "Буде більш схильний до вступу в торговельні ліги."
 AI_RULER_LESS_LIKELY_TRADE_LEAGUE:0 "Буде менш схильний до вступу в торговельні ліги."
 AI_RULER_MORE_LIKELY_ALLIANCE:0 "Буде більш схильний до створення союзів."
 AI_RULER_LESS_LIKELY_ALLIANCE:0 "Буде менш схильний до створення союзів."
 AI_RULER_MORE_LIKELY_HERETIC_ALLY:0 "Буде більш схильний до союзу з єретиками."
 AI_RULER_LESS_LIKELY_HERETIC_ALLY:0 "Буде менш схильний до союзу з єретиками."
 AI_RULER_MORE_LIKELY_HEATHEN_ALLY:0 "Буде більш схильний до союзу з язичниками."
 AI_RULER_LESS_LIKELY_HEATHEN_ALLY:0 "Буде менш схильний до союзу з язичниками."
 AI_RULER_GETS_PEACE_BONUS:0 "Буде схильний підписувати більш вигідні умови миру з іншими ІІ-державами."
 AI_RULER_LESS_PEACE_BONUS:0 "Буде схильний підписувати менш вигідні умови миру з іншими ІІ-державами."
 AI_RULER_FAST_PEACE_DESIRE:0 "Буде схильний до швидкої капітуляції."
 AI_RULER_SLOW_PEACE_DESIRE:0 "Буде схильний до ведення тривалих війн."
 AI_RULER_MORE_WARNINGS:0 "Буде більш схильний посилати попередження."
 AI_RULER_LESS_WARNINGS:0 "Буде менш схильний посилати попередження."
 AI_RULER_MORE_HELP_FROM_AI:0 "Буде більш схильний побічно допомагати іншим ІІ-державам."
 AI_RULER_LESS_HELP_FROM_AI:0 "Буде менш схильний побічно допомагати іншим ІІ-державам."
 AI_RULER_MORE_WAR_CHANCE_FROM_AI:0 "Буде більш схильний до оголошення війн іншим ІІ-державам."
 AI_RULER_LESS_WAR_CHANCE_FROM_AI:0 "Буде менш схильний до оголошення війн іншим ІІ-державам."
 AI_RULER_SELL_SHIPS:0 "Продаватиме свої кораблі за гроші."
 AI_RULER_SELL_PROVINCES:0 "Продаватиме свої провінції, щоб заплатити за свої борги."
 AI_RULER_DEBASE:0 "Буде частіше проводити псування монет."
 AI_RULER_AVOID_DEBASE:0 "Буде рідше проводити псування монет."
 AI_RULER_LOANS:0 "Буде схильний брати позики (навіть від гравців)."
 AI_RULER_AVOID_LOANS:0 "Буде рідше брати позики."
 AI_RULER_EXPLORERS:0 "Використовуватиме більше дослідників."
 AI_RULER_DISCLOSE_ATTACK:0 "Розкриватиме військові плани завчасно."
 AI_RULER_AVOID_UGLY_BORDERS:0 "Уникатиме потворних кордонів."
 AI_RULER_BETRAY_ALLIES:0 "Зрадить своїх союзників без довгих роздумів."
 AI_RULER_EXCOMMUNICATE:0 "Буде схильний використовувати відлучення, якщо контролює Папу."
 AI_RULER_HERETIC_LAND:0 "Жадатиме сусідні землі єретиків."
 AI_RULER_HEATHEN_LAND:0 "Жадатиме сусідні землі язичників."
 AI_RULER_COLONIES:0 "Прагнутиме до заснування нових колоній."
 AI_RULER_MORE_LIKELY_TO_MARRY:0 "Буде схильний укладати шлюби."
 AI_RULER_LESS_LIKELY_TO_MARRY:0 "Не буде схильний укладати шлюби."
 AI_RULER_RANDOM_INSULTS:0 "Посилатиме образи в випадкове час."
 AI_RULER_GOLD:0 "Вимагатиме золото в мирному договорі."
 AI_RULER_LAND:0 "Бажатиме будь-які прилеглі землі."
 AI_RULER_IGNORE_AE:0 "Ігноруватиме агресивне розширення."
 AI_RULER_CONDOTTIERI:0 "Буде схильний використовувати кондотьєрів."
 AI_RULER_RANDOM_TROOP_MOVES:0 "Буде іноді віддавати випадкові накази військам."
 AI_RULER_LOWER_AUTONOMY:0 "Знижуватиме автономію пригноблених."
 AI_RULER_RAZE:0 "Любитиме розоряти і грабувати."
 AI_RULER_FAIR_FIGHTS:0 "Буде схильний обирати рівних по силі супротивників."
 AI_RULER_MORE_ENEMY_STRENGTH:0 "Буде переоцінювати силу ворожих військ."
 AI_RULER_LESS_ENEMY_STRENGTH:0 "Буде недооцінювати силу ворожих військ."
 AI_RULER_MORE_WAR:0 "Буде схильний починати війни."
 AI_RULER_LESS_WAR:0 "Не буде схильний починати війни."
 AI_RULER_FAIR_WAR:0 "Починатиме справедливі війни."
 AI_RULER_COWARD_WAR:0 "Починатиме підступні війни."
 AI_RULER_MORE_RELIGION_WAR:0 "Буде ворожий до інших релігій."
 AI_RULER_LESS_RELIGION_WAR:0 "Буде менш ворожий до інших релігій."
 AI_RULER_MORE_BUILDINGS:1 "Буде схильний зводити будівлі."
 AI_RULER_LESS_BUILDINGS:1 "Буде менш схильний зводити будівлі."
 AI_RULER_MORE_GIFTS:0 "Любитиме посилати подарунки."
 AI_RULER_LESS_GIFTS:0 "Буде рідко робити подарунки."
 AI_RULER_THREATEN_WAR:0 "Буде часто погрожувати війною."
 AI_RULER_WAR_PRIORITY:0 "Використовуватиме особливі цілі при розв'язанні війн."
 NO_CURRENT_INSTI_TECH_PENALTIES:0 "Немає штрафів до вивчення технологій від інститутів."
 MUST_BE_RELIGION:0 "Провінція $NАМЕ$ повинна сповідувати $RELIGION$."
 MUST_BE_CONTROLLED_BY_RELIGION:0 "Провінція $NАМЕ$ повинна контролюватися державою, котра сповідує $RELIGION$."
 THIS_MIGHT_BE_DUE_TO_RULER_PERSONALITY:0 "Це пов'язано з рисою $РЕRSОNАLIТY|Y$, якою володіє $RULЕR$."
 THIS_MIGHT_BE_DUE_TO_PERSONALITY:0 "Це пов'язано з їх рисою - $РЕRSОNАLIТY|Y$."
 X_NOT_DISCOVERED_YET:0 "Інститут $X$ ще не відкрили!"
 HOLY_SITE:0 "Святе місце"
 ALREADY_PICKED_BLESSING:0 "Благословення вже обрано!"
 ALL_BLESSINGS_PICKED:0 "§GВсі благословення вже обрано!§!"
